Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,ESD5Z5V0,D_SOD-523,125.31,-90.33,180.0,top
F1,SMD0805-050-16V,Fuse_1206_3216Metric,132.37,-90.96,0.0,top
FB1,GZ2012D601TF,L_0805_2012Metric,124.99,-87.6,-90.0,top
J1,TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,129.286,-76.8635,180.0,top
R1,5.1k,R_0402_1005Metric,132.94,-86.72,180.0,top
R2,5.1k,R_0402_1005Metric,127.1,-87.27,-90.0,top
U1,TPD4E05U06DQAR,USON-10_2.5x1.0mm_P0.5mm,129.29,-87.78,90.0,top
